"""title""","""rating""","""poster"""," ""year"""," ""genres"""," ""director""","""plot""","""actors"""
"""The African Queen""",,," ""3/21/1952"""," ""Romance"""," ""John Huston""",,
"""The Apartment""",,," ""9/16/1960"""," ""Comedy-drama"""," ""Billy Wilder""",,
"""The Best Years Of Our Lives""",,," ""5/29/1947"""," ""Drama"""," ""William Wyler""",,
"""The Bridge On The River Kwai""",,," ""12/14/1957"""," ""Drama"""," ""David Lean""",,
"""The Deer Hunter""",,," ""12/8/1978"""," ""Drama"""," ""Michael Cimino""",,
"""The French Connection""",,," ""10/1/1971"""," ""Drama"""," ""William Friedkin""",,
"""The General""",,," ""2/5/1927"""," ""Comedy"""," ""Buster Keaton""",,
"""The Godfather""",,," ""3/24/1972"""," ""Drama"""," ""Francis Ford Coppola""",,
"""The Godfather Part Ii""",,," ""12/20/1974"""," ""Drama"""," ""Francis Ford Coppola""",,
"""The Gold Rush""",,," ""8/16/1925"""," ""Comedy-drama"""," ""Charles Chaplin""",,
"""The Graduate""",,," ""12/21/1967"""," ""Comedy-drama"""," ""Mike Nichols""",,
"""The Grapes Of Wrath""",,," ""3/15/1940"""," ""Drama"""," ""John Ford""",,
"""The Last Picture Show""",,," ""10/1/1971"""," ""Drama"""," ""Peter Bogdanovich""",,
"""The Lord Of The Rings: The Fellowship Of The Ring""",,," ""12/19/2001"""," ""Adventure"," ""Peter Jackson""",,
"""The Maltese Falcon""",,," ""10/18/1941"""," ""Drama"""," ""John Huston""",,
"""The Philadelphia Story""",,," ""1/17/1941"""," ""Romantic comedy"""," ""George Cukor""",,
"""The Searchers""",,," ""5/26/1956"""," ""Western"""," ""John Ford""",,
"""The Shawshank Redemption""",,," ""10/14/1994"""," ""Drama"""," ""Frank Darabont""",,
"""The Silence Of The Lambs""",,," ""2/14/1991"""," ""Drama"""," ""Jonathan Demme""",,
"""The Sixth Sense""",,," ""8/6/1999"""," ""Drama"," ""M. Night Shyamalan""",,
"""The Sound Of Music""",,," ""4/1/1965"""," ""Musical"," ""Robert Wise""",,
"""The Treasure Of The Sierra Madre""",,," ""1/24/1948"""," ""Drama"," ""John Huston""",,
"""The Wild Bunch""",,," ""6/18/1969"""," ""Western"""," ""Sam Peckinpah""",,
"""The Wizard Of Oz""",,," ""8/25/1939"""," ""Fantasy"," ""Victor Fleming""",,
"""Titanic""",,," ""12/19/1997"""," ""Drama"," ""James Cameron""",,
"""To Kill A Mockingbird""",,," ""12/25/1962"""," ""Drama"""," ""Robert Mulligan""",,
"""Tootsie""",,," ""12/17/1982"""," ""Comedy-drama"," ""Sydney Pollack""",,
"""Toy Story""",,," ""11/22/1995"""," ""Comedy"""," ""John Lasseter""",,
"""Unforgiven""",,," ""8/7/1992"""," ""Western"""," ""Clint Eastwood""",,
"""Vertigo""",,," ""5/28/1958"""," ""Romance"""," ""Alfred Hitchcock""",,
"""West Side Story""",,," ""12/23/1961"""," ""Drama"," ""Robert Wise""",,
"""Who's Afraid Of Virginia Woolf?""",,," ""6/22/1966"""," ""Drama"""," ""Mike Nichols""",,
"""Yankee Doodle Dandy""",,," ""1/2/1943"""," ""Biography"," ""Michael Curtiz""",,
